subtype	question	option1	option2	option3	option4	correct	time	square_text
Fun Facts 1	What has keys but cannot open locks?	Door	Keyboard	Piano	Map	3	15	100
Fun Facts 1	What comes down but never goes up?	Rain	Balloon	Feather	Snow	1	15	200
Fun Facts 1	What can travel around the world while staying in a corner?	Stamp	Letter	Satellite	Airplane	1	20	300
Fun Facts 1	What has hands but cannot clap?	Clock	Robot	Glove	Statue	1	20	400
Fun Facts 1	I speak without a mouth and hear without ears. What am I?	Echo	Shadow	Wind	Light	1	25	500
Fun Facts 2	The more you take, the more you leave behind. What am I?	Footsteps	Time	Breath	Shadow	1	15	100
Fun Facts 2	I have branches, but no fruit, trunk or leaves. What am I?	Bank	River	Tree	Library	1	15	200
Fun Facts 2	What has an eye but cannot see?	Needle	Storm	Potato	Tornado	1	20	300
Fun Facts 2	I’m light as a feather, yet the strongest man cannot hold me for long. What am I?	Breath	Cloud	Balloon	Shadow	1	20	400
Fun Facts 2	The more you take from me, the more I grow. What am I?	Hole	Shadow	Time	Sand	1	25	500
Fun Facts 3	I’m always hungry and must be fed. The finger I touch will soon turn red. What am I?	Fire	Lion	Shark	Monster	1	15	100
Fun Facts 3	The more you take out of me, the bigger I get. What am I?	Hole	Balloon	Ice	Bag	1	15	200
Fun Facts 3	I go up and down, but I never move. What am I?	Stairs	Elevator	Yo-yo	Kite	1	20	300
Fun Facts 3	What can fill a room but takes up no space?	Light	Air	Heat	Music	1	20	400
Fun Facts 3	I can be cracked, made, told, and played. What am I?	Joke	Egg	Code	Game	1	25	500
Fun Facts 4	I’m always running but never move. What am I?	Water	Clock	River	Machine	1	15	100
Fun Facts 4	What begins with T, ends with T, and has T in it?	Teapot	Tent	Ticket	Tube	1	15	200
Fun Facts 4	What has many teeth but cannot bite?	Comb	Saw	Gear	Zipper	1	20	300
Fun Facts 4	I fly without wings. I cry without eyes. What am I?	Cloud	Wind	Balloon	Kite	2	20	400
Fun Facts 4	I am always in front of you but can’t be seen. What am I?	Future	Wind	Shadow	Thought	1	25	500
Fun Facts 5	I’m tall when I’m young and short when I’m old. What am I?	Candle	Tree	Pencil	Shadow	1	15	100
Fun Facts 5	The more of me there is, the less you see. What am I?	Fog	Darkness	Smoke	Light	2	15	200
Fun Facts 5	What has cities but no houses, rivers but no water?	Map	Game	Puzzle	Book	1	20	300
Fun Facts 5	What belongs to you, but others use it more than you?	Name	Phone	Wallet	Shoes	1	20	400
Fun Facts 5	I’m not alive, but I grow. I don’t have lungs, but I need air. What am I?	Fire	Plant	Crystal	Shadow	1	25	500
Fun Facts 6	I’m always in front of you but can’t be touched. What am I?	Future	Shadow	Wind	Dream	1	15	100
Fun Facts 6	I have a heart that doesn’t beat. What am I?	Artichoke	Robot	Clock	Stone	1	15	200
Fun Facts 6	The more you take away from me, the bigger I get. What am I?	Hole	Shadow	Dough	Ice	1	20	300
Fun Facts 6	I go up but never come down. What am I?	Age	Balloon	Rocket	Sun	1	20	400
Fun Facts 6	The more you use me, the less I appear. What am I?	Eraser	Candle	Chalk	Ice	1	25	500
