subtype	question	option1	option2	option3	option4	correct	time	square_text
Exploration & Colonization	Who explored the St. Lawrence River for France?	Jacques Cartier	Samuel de Champlain	Henry Hudson	John Cabot	1	20	100
Exploration & Colonization	Which colony was founded as a refuge for Catholics?	Maryland	Virginia	Massachusetts	Rhode Island	1	20	200
Exploration & Colonization	The Pilgrims traveled on which ship?	Mayflower	Santa Maria	Discovery	Nina	1	25	300
Exploration & Colonization	Which colony was known for religious tolerance and Quaker settlers?	Rhode Island	Pennsylvania	Massachusetts Bay	New Jersey	2	25	400
Exploration & Colonization	Jamestown struggled in its early years primarily because of?	Native attacks	Poor leadership	Starvation and disease	Lack of settlers	3	25	500
Exploration & Colonization	The Headright System encouraged settlement in which colony?	Virginia	Massachusetts	New York	Georgia	1	30	600
Revolution & Early Republic	Which act required colonists to house British soldiers?	Stamp Act	Quartering Act	Townshend Acts	Tea Act	2	20	100
Revolution & Early Republic	The Boston Tea Party protested what?	Sugar tax	Tea tax	Stamp Act	Intolerable Acts	2	20	200
Revolution & Early Republic	Who was the primary author of the Declaration of Independence?	John Adams	Thomas Jefferson	Benjamin Franklin	James Madison	2	25	300
Revolution & Early Republic	The Articles of Confederation were replaced because?	Too strong central government	Too weak central government	No army	No Congress	2	25	400
Revolution & Early Republic	The Bill of Rights guarantees what?	Voting rights	Civil liberties	Taxation powers	Land ownership	2	25	500
Revolution & Early Republic	Who was the first Secretary of the Treasury?	Alexander Hamilton	Thomas Jefferson	John Adams	James Madison	1	30	600
Westward Expansion	The Louisiana Purchase was bought from which country?	Spain	France	Britain	Netherlands	2	20	100
Westward Expansion	Which president is associated with the Indian Removal Act?	Thomas Jefferson	Andrew Jackson	James Monroe	Martin Van Buren	2	20	200
Westward Expansion	The California Gold Rush began in which year?	1845	1848	1850	1855	2	25	300
Westward Expansion	The Seneca Falls Convention focused on?	Slavery	Women’s rights	Temperance	Westward expansion	2	25	400
Westward Expansion	The Homestead Act gave settlers land in which region?	South	West	Northeast	Midwest	2	25	500
Westward Expansion	Which trail connected Missouri to Santa Fe?	Oregon Trail	Santa Fe Trail	Mormon Trail	California Trail	2	30	600
Civil War & Reconstruction	Which southern state was first to secede?	South Carolina	Virginia	Georgia	Mississippi	1	20	100
Civil War & Reconstruction	Who commanded the Confederate Army?	Ulysses S. Grant	Robert E. Lee	William T. Sherman	Stonewall Jackson	2	20	200
Civil War & Reconstruction	Which battle is considered the turning point of the Civil War?	Antietam	Gettysburg	Vicksburg	Shiloh	2	25	300
Civil War & Reconstruction	Reconstruction amendments include which number guaranteeing citizenship?	13th	14th	15th	16th	2	25	400
Civil War & Reconstruction	The Ku Klux Klan was founded during which era?	Antebellum	Reconstruction	Gilded Age	Progressive Era	2	25	500
Civil War & Reconstruction	The Emancipation Proclamation applied to which states?	Border states	Confederate states	Union states	Entire U.S.	2	30	600
20th Century U.S.	Which president led the U.S. during World War I?	Woodrow Wilson	Franklin D. Roosevelt	Harry Truman	Theodore Roosevelt	1	20	100
20th Century U.S.	The New Deal was associated with which president?	Herbert Hoover	Franklin D. Roosevelt	Harry Truman	Dwight Eisenhower	2	20	200
20th Century U.S.	Which president ordered the atomic bombs on Japan?	Franklin D. Roosevelt	Harry Truman	Dwight Eisenhower	John F. Kennedy	2	25	300
20th Century U.S.	The Civil Rights Act was signed by which president?	John F. Kennedy	Lyndon B. Johnson	Richard Nixon	Dwight D. Eisenhower	2	25	400
20th Century U.S.	Which war occurred between 1950–1953?	Korean War	Vietnam War	WWII	Gulf War	1	25	500
20th Century U.S.	The Moon landing happened during which president’s term?	John F. Kennedy	Richard Nixon	Lyndon B. Johnson	Gerald Ford	2	30	600
