subtype	question	option1	option2	option3	option4	correct	time	square_text
Geography	What is the capital of China?	北京	上海	广州	西安	1	20	100
Geography	Which river is the longest in China?	黄河	长江	珠江	澜沧江	2	20	200
Geography	Which desert is in northern China?	塔克拉玛干	戈壁	沙漠谷	塔尔沙	1	25	300
Geography	Which city is famous for pandas?	成都	北京	上海	香港	1	25	400
Geography	Which city has the Forbidden City?	上海	北京	西安	南京	2	25	500
Geography	Which region is famous for the Terracotta Army?	西安	北京	成都	桂林	1	30	600
Culture	What is the Chinese zodiac animal for 2024?	龙	虎	马	羊	1	20	100
Culture	Which color is lucky for Chinese New Year?	红色	黄色	蓝色	绿色	1	20	200
Culture	What is the traditional Chinese instrument with strings?	笛子	二胡	鼓	琵琶	2	25	300
Culture	What is the most famous Chinese martial art?	太极	空手道	功夫	柔道	3	25	400
Culture	What is the national sport of China?	乒乓球	篮球	足球	羽毛球	1	25	500
Culture	Which Chinese philosopher wrote “The Analects”?	孔子	老子	庄子	墨子	1	30	600
Food	What is a popular Chinese dumpling?	包子	饺子	面条	火锅	2	20	100
Food	What is a famous Chinese soup with shark fin (historical)?	酸辣汤	鸡汤	燕窝汤	鱼翅汤	4	20	200
Food	What is a popular Chinese noodle dish?	拉面	饺子	包子	粽子	1	25	300
Food	Which Chinese dessert is made of glutinous rice balls?	汤圆	月饼	糖葫芦	驴打滚	1	25	400
Food	Which dish is served during Lunar New Year for good luck?	年糕	包子	面条	火锅	1	25	500
Food	Which type of tea is famous from Fujian province?	龙井茶	铁观音	普洱茶	花茶	2	30	600
Festivals	Which festival has lanterns and dragon dances?	中秋节	春节	元宵节	端午节	3	20	100
Festivals	Which festival involves zongzi (sticky rice)?	中秋节	春节	元宵节	端午节	4	20	200
Festivals	What is celebrated on the 15th day of Lunar New Year?	元宵节	春节	端午节	七夕节	1	25	300
Festivals	Which festival celebrates the moon?	中秋节	春节	元宵节	端午节	1	25	400
Festivals	What festival involves dragon boat racing?	中秋节	春节	元宵节	端午节	4	25	500
Festivals	Which festival is known as the “Qixi Festival”?	七夕节	春节	元宵节	中秋节	1	30	600
Famous Places	Which wall stretches across northern China?	长城	故宫	兵马俑	天安门	1	20	100
Famous Places	What is the famous palace in Beijing?	天坛	故宫	颐和园	北海公园	2	20	200
Famous Places	Which city has the Terracotta Army?	西安	北京	成都	桂林	1	25	300
Famous Places	Which square is famous in Beijing for 1989 events?	天安门广场	王府井	后海	王府花园	1	25	400
Famous Places	Which river is famous for Yangtze cruises?	黄河	长江	珠江	松花江	2	25	500
Famous Places	Which mountain range includes Huangshan?	华山	黄山	泰山	庐山	2	30	600
