subtype	question	option1	option2	option3	option4	correct	time	square_text
Early America	Which European nation first settled Quebec in 1608?	France	England	Spain	Netherlands	1	20	100
Early America	The Mayflower Compact was signed in which year?	1607	1620	1636	1640	2	20	200
Early America	Who established the colony of Rhode Island?	William Penn	Roger Williams	John Smith	John Winthrop	2	25	300
Early America	Which Native American confederacy resisted English colonists in the 17th century?	Iroquois	Powhatan	Cherokee	Sioux	2	25	400
Early America	The Salem Witch Trials occurred in which colony?	Massachusetts	Virginia	New York	Pennsylvania	1	25	500
Early America	Pennsylvania was founded primarily for which purpose?	Trade	Religious freedom	Gold	Military	2	30	600
Revolutionary Era	Which pamphlet encouraged independence from Britain?	Common Sense	The Federalist Papers	Rights of Man	Uncle Tom’s Cabin	1	20	100
Revolutionary Era	Who commanded the Continental Army?	John Adams	Thomas Jefferson	George Washington	Benedict Arnold	3	20	200
Revolutionary Era	The Boston Massacre occurred in which year?	1765	1770	1775	1780	2	25	300
Revolutionary Era	Which treaty ended the American Revolution?	Treaty of Paris 1783	Treaty of Versailles	Jay Treaty	Treaty of Ghent	1	25	400
Revolutionary Era	Which act taxed paper, lead, paint, and tea?	Sugar Act	Stamp Act	Townshend Acts	Intolerable Acts	3	25	500
Revolutionary Era	Which loyalist was famous for betraying West Point?	Benedict Arnold	John Hancock	Paul Revere	Patrick Henry	1	30	600
Expansion & Reform	The Louisiana Purchase was in which year?	1800	1803	1812	1820	2	20	100
Expansion & Reform	Which president was elected in the “Era of Good Feelings”?	James Monroe	John Adams	Thomas Jefferson	Andrew Jackson	1	20	200
Expansion & Reform	The Trail of Tears involved which tribe?	Cherokee	Sioux	Iroquois	Apache	1	25	300
Expansion & Reform	Who led the Seneca Falls Convention?	Harriet Tubman	Elizabeth Cady Stanton	Susan B. Anthony	Sojourner Truth	2	25	400
Expansion & Reform	The Monroe Doctrine warned European nations not to colonize where?	Africa	Latin America	Asia	Australia	2	25	500
Expansion & Reform	The Erie Canal connected which two bodies of water?	Hudson River & Lake Erie	Mississippi & Ohio	Potomac & Chesapeake	Missouri & Missouri	1	30	600
Civil War & Reconstruction	Which battle marked the start of the Civil War?	Gettysburg	Fort Sumter	Antietam	Bull Run	2	20	100
Civil War & Reconstruction	Which amendment abolished slavery?	13th	14th	15th	16th	1	20	200
Civil War & Reconstruction	Who was president during Reconstruction?	Abraham Lincoln	Andrew Johnson	Ulysses S. Grant	Rutherford B. Hayes	2	25	300
Civil War & Reconstruction	The Homestead Act encouraged settlers to move where?	West	South	Midwest	East	1	25	400
Civil War & Reconstruction	The Battle of Vicksburg was significant for which reason?	Union defeat	Confederate victory	Control of Mississippi River	Ended the war	3	25	500
Civil War & Reconstruction	The Freedmen’s Bureau primarily helped whom?	Immigrants	Soldiers	Freed slaves	Plantation owners	3	30	600
20th Century U.S.	Which president created the New Deal?	Theodore Roosevelt	Franklin D. Roosevelt	Woodrow Wilson	Harry Truman	2	20	100
20th Century U.S.	The U.S. joined World War II after which event?	D-Day	Pearl Harbor	Hiroshima	Midway	2	20	200
20th Century U.S.	The Civil Rights Movement of the 1960s was led by whom?	Malcolm X	Martin Luther King Jr.	Rosa Parks	Thurgood Marshall	2	25	300
20th Century U.S.	Which president signed the Social Security Act?	Franklin D. Roosevelt	Harry Truman	Dwight Eisenhower	Lyndon Johnson	1	25	400
20th Century U.S.	The Cold War primarily involved which two countries?	U.S. & China	U.S. & Soviet Union	U.S. & Germany	U.S. & Japan	2	25	500
20th Century U.S.	Who was president during the Moon landing in 1969?	Richard Nixon	Lyndon B. Johnson	John F. Kennedy	Gerald Ford	1	30	600
