subtype	question	option1	option2	option3	option4	correct	time	square_text
Thanksgiving	What bird is traditionally eaten at Thanksgiving?	Turkey	Chicken	Duck	Goose	1	20	100
Thanksgiving	Which month is Thanksgiving celebrated in the US?	September	October	November	December	3	20	200
Thanksgiving	The first Thanksgiving was celebrated by which group?	Pilgrims	Native Americans	Vikings	Spanish explorers	1	25	300
Thanksgiving	What sweet dish is common at Thanksgiving dinner?	Pumpkin pie	Apple pie	Chocolate cake	Cheesecake	1	20	400
Thanksgiving	Which parade is famous in New York City every Thanksgiving?	Macy’s Thanksgiving Parade	Rose Parade	St. Patrick’s Parade	Halloween Parade	1	25	500
Thanksgiving	Which US president declared Thanksgiving a national holiday?	George Washington	Abraham Lincoln	Thomas Jefferson	Franklin Roosevelt	2	30	600
Halloween	What is carved into a Jack-o’-lantern?	Pumpkin	Apple	Potato	Melon	1	20	100
Halloween	Which candy is traditionally given on Halloween?	Candy corn	Chocolate bar	Gummy bears	Lollipop	1	20	200
Halloween	Which creature is said to rise from the dead on Halloween?	Vampire	Ghost	Zombie	Witch	3	25	300
Halloween	What costume is very popular for kids on Halloween?	Pirate	Princess	Ghost	All of the above	4	25	400
Halloween	Halloween originates from which ancient festival?	Samhain	Day of the Dead	Carnival	Spring Equinox	1	25	500
Halloween	Which color combination is strongly associated with Halloween?	Black and Orange	Red and Green	Blue and White	Purple and Yellow	1	30	600
Christmas	Which man delivers gifts on Christmas Eve?	Santa Claus	Easter Bunny	Tooth Fairy	Cupid	1	20	100
Christmas	What plant is traditionally hung for kissing at Christmas?	Holly	Mistletoe	Poinsettia	Ivy	2	20	200
Christmas	Which traditional decoration is placed on top of a Christmas tree?	Star	Angel	Bow	Both 1 and 2	4	25	300
Christmas	What is a common Christmas sweet treat?	Gingerbread	Candy Corn	Chocolate Egg	Mooncake	1	25	400
Christmas	Which song includes the lyrics “Silent night, holy night”?	Jingle Bells	Silent Night	Deck the Halls	Rudolph the Red-Nosed Reindeer	2	25	500
Christmas	Which country is credited with starting the Christmas tree tradition?	Germany	France	England	USA	1	30	600
New Year	What is commonly done at midnight on New Year’s Eve?	Eat turkey	Fireworks	Trick-or-treating	Hang stockings	2	20	100
New Year	What is a common New Year’s resolution?	Exercise	Learn a new skill	Save money	All of the above	4	20	200
New Year	Which calendar event starts the New Year?	January 1	December 31	February 1	March 1	1	25	300
New Year	Which drink is commonly used to toast on New Year’s Eve?	Juice	Champagne	Soda	Water	2	25	400
New Year	What traditional song is sung at midnight?	Happy Birthday	Auld Lang Syne	Jingle Bells	Twinkle Twinkle Little Star	2	25	500
New Year	In the US, which city is famous for dropping a ball at midnight?	Chicago	Los Angeles	New York	Boston	3	30	600
Other Holidays	On which day is Independence Day celebrated in the US?	July 4	July 14	June 4	June 14	1	20	100
Other Holidays	Which holiday honors workers?	Labor Day	Veterans Day	Presidents’ Day	Memorial Day	1	20	200
Other Holidays	Who is celebrated on Martin Luther King Jr. Day?	Civil Rights Leader	President	Poet	Explorer	1	25	300
Other Holidays	On Presidents’ Day, which president is honored first?	Abraham Lincoln	George Washington	Thomas Jefferson	Franklin Roosevelt	2	25	400
Other Holidays	Which holiday commemorates fallen soldiers?	Memorial Day	Veterans Day	Labor Day	Flag Day	1	25	500
Other Holidays	Which holiday celebrates the Constitution of the US?	Constitution Day	Independence Day	Flag Day	Columbus Day	1	30	600
