subtype	question	option1	option2	option3	option4	correct	time	square_text
Cell Biology	Which structure helps cells maintain shape and resist stress?	Cytoskeleton	Cell wall	Ribosome	Golgi apparatus	1	20	100
Cell Biology	Which organelle is involved in lipid synthesis?	Rough ER	Smooth ER	Mitochondria	Lysosome	2	20	200
Cell Biology	What process allows cells to take in large particles?	Endocytosis	Exocytosis	Osmosis	Diffusion	1	25	300
Cell Biology	Which organelle contains digestive enzymes?	Lysosome	Peroxisome	Vacuole	Golgi	1	25	400
Cell Biology	What is the primary function of ribosomes?	Protein synthesis	Lipid production	Energy generation	DNA replication	1	25	500
Cell Biology	Plasmodesmata are channels found in which cells?	Animal	Plant	Bacterial	Fungal	2	30	600
Genetics	Which type of inheritance involves multiple genes affecting one trait?	Polygenic	Mendelian	Codominance	Epistasis	1	20	100
Genetics	Which enzyme unzips DNA strands during replication?	DNA polymerase	Helicase	Ligase	Primase	2	20	200
Genetics	What is a silent mutation?	Changes protein sequence	No effect on protein	Causes frameshift	Deletes a codon	2	25	300
Genetics	Which cross produces a 9:3:3:1 ratio in offspring?	Monohybrid	Dihybrid	Test cross	Backcross	2	25	400
Genetics	Which RNA molecule carries anticodons?	mRNA	tRNA	rRNA	snRNA	2	25	500
Genetics	Gene expression can be regulated at which level?	Transcription	Translation	Epigenetic	All of the above	4	30	600
Evolution & Ecology	What is adaptive radiation?	One species evolves into many	One species goes extinct	Random drift	Mutation accumulation	1	20	100
Evolution & Ecology	Which type of selection favors one extreme trait?	Stabilizing	Directional	Disruptive	Sexual	2	20	200
Evolution & Ecology	Which biome has the most biodiversity?	Desert	Rainforest	Tundra	Taiga	2	25	300
Evolution & Ecology	Which interaction benefits one species but harms the other?	Mutualism	Commensalism	Parasitism	Predation	3	25	400
Evolution & Ecology	What is the term for a population’s genetic makeup?	Phenotype	Genotype	Allele	Trait	2	25	500
Evolution & Ecology	Which evolutionary mechanism is random?	Natural selection	Genetic drift	Gene flow	Mutation	2	30	600
Physiology	Which part of the nephron filters blood?	Loop of Henle	Bowman's capsule	Distal tubule	Collecting duct	2	20	100
Physiology	Which hormone regulates metabolism?	Insulin	Thyroxine	Adrenaline	Glucagon	2	20	200
Physiology	Which part of the brain controls balance?	Cerebrum	Cerebellum	Medulla	Hypothalamus	2	25	300
Physiology	Which type of blood vessel carries blood to the heart?	Arteries	Veins	Capillaries	Venules	2	25	400
Physiology	Which cell type produces antibodies?	T cells	B cells	Red blood cells	Platelets	2	25	500
Physiology	Which organ stores bile?	Liver	Gallbladder	Pancreas	Stomach	2	30	600
Biochemistry	What is the monomer of proteins?	Amino acid	Nucleotide	Monosaccharide	Fatty acid	1	20	100
Biochemistry	What type of bond links amino acids?	Peptide	Hydrogen	Ionic	Glycosidic	1	20	200
Biochemistry	Which molecule is the main energy currency of the cell?	Glucose	ATP	NADH	FADH2	2	25	300
Biochemistry	Enzymes work by lowering what?	Substrate	Activation energy	Temperature	Concentration	2	25	400
Biochemistry	Which polysaccharide stores energy in plants?	Glycogen	Starch	Cellulose	Chitin	2	25	500
Biochemistry	Which process generates ATP without oxygen?	Aerobic respiration	Fermentation	Photosynthesis	Oxidative phosphorylation	2	30	600
