30 Questions Table
subtype	question	option1	option2	option3	option4	correct	time	square_text
Colonial America	Which colony was founded for religious freedom for the Puritans?	Pennsylvania	Massachusetts Bay	Virginia	Maryland	2	20	100
Colonial America	What crop was most important to early Jamestown settlers?	Corn	Tobacco	Wheat	Cotton	2	20	200
Colonial America	The first representative assembly in the American colonies was called?	Mayflower Compact	House of Burgesses	Continental Congress	Albany Congress	2	25	300
Colonial America	Which region relied heavily on plantation agriculture?	New England	Middle Colonies	Southern Colonies	Frontier	3	25	400
Colonial America	The Middle Passage refers to which part of the Atlantic trade?	Slaves to Americas	Raw materials to Europe	Manufactured goods to Africa	Ships to Asia	1	25	500
Colonial America	Which colony was founded by William Penn?	Rhode Island	New York	Pennsylvania	Delaware	3	30	600
American Revolution	Who wrote the Declaration of Independence?	George Washington	Thomas Jefferson	Benjamin Franklin	John Adams	2	20	100
American Revolution	Which battle is considered the turning point of the war?	Yorktown	Bunker Hill	Saratoga	Lexington	3	20	200
American Revolution	The Treaty of Paris 1783 ended which war?	French & Indian War	American Revolution	War of 1812	Revolutionary War	2	25	300
American Revolution	What group protested British taxes with “No taxation without representation”?	Sons of Liberty	Loyalists	Continental Army	Minutemen	1	25	400
American Revolution	Who was the French general who helped the Americans?	Lafayette	Rochambeau	de Grasse	Talleyrand	1	25	500
American Revolution	The Boston Tea Party protested what?	Stamp Act	Tea Tax	Intolerable Acts	Quartering Act	2	30	600
Constitution & Government	The first U.S. Constitution was called?	Articles of Confederation	Bill of Rights	Federalist Papers	Declaration of Independence	1	20	100
Constitution & Government	How many branches of government are in the U.S.?	2	3	4	5	2	20	200
Constitution & Government	The Great Compromise settled what issue?	Slavery	Representation in Congress	Presidential elections	Judicial power	2	25	300
Constitution & Government	Which amendment guarantees freedom of speech?	1st	2nd	4th	5th	1	25	400
Constitution & Government	Who is considered the “Father of the Constitution”?	Thomas Jefferson	James Madison	Alexander Hamilton	George Washington	2	25	500
Constitution & Government	The system that prevents one branch from becoming too powerful is called?	Federalism	Separation of Powers	Checks and Balances	Judicial Review	3	30	600
Civil War & Reconstruction	Who was president during the Civil War?	Ulysses S. Grant	Abraham Lincoln	Andrew Johnson	Jefferson Davis	2	20	100
Civil War & Reconstruction	The Emancipation Proclamation freed slaves in which areas?	Border States	Confederate States	Union States	Entire U.S.	2	20	200
Civil War & Reconstruction	Which battle is considered the bloodiest single-day battle?	Gettysburg	Antietam	Shiloh	Bull Run	2	25	300
Civil War & Reconstruction	Reconstruction amendments include which number for voting rights?	13th	14th	15th	16th	3	25	400
Civil War & Reconstruction	The main goal of the Freedmen’s Bureau was?	Train soldiers	Aid freed slaves	Build railroads	Collect taxes	2	25	500
Civil War & Reconstruction	The Southern states that seceded were called?	Confederacy	Union	Colonies	Protectorate	1	30	600
20th Century U.S.	Who was president during the Great Depression and WWII?	Franklin D. Roosevelt	Harry S. Truman	Theodore Roosevelt	Dwight D. Eisenhower	1	20	100
20th Century U.S.	The U.S. entered World War I in what year?	1914	1917	1918	1920	2	20	200
20th Century U.S.	What program was designed to provide economic relief during the Depression?	New Deal	Fair Deal	Square Deal	Great Society	1	25	300
20th Century U.S.	Which war was fought from 1950–1953?	WWII	Korean War	Vietnam War	Gulf War	2	25	400
20th Century U.S.	The Civil Rights Act was passed in what year?	1954	1964	1968	1972	2	25	500
20th Century U.S.	Which president resigned during the Watergate scandal?	Nixon	Ford	Kennedy	Carter	1	30	600
