subtype	question	option1	option2	option3	option4	correct	time	square_text
Mobs	Which passive mob drops wool?	Cow	Sheep	Pig	Chicken	2	20	100
Mobs	Which hostile mob burns in daylight?	Zombie	Skeleton	Creeper	Spider	2	20	200
Mobs	Which mob explodes near the player?	Zombie	Skeleton	Creeper	Enderman	3	20	300
Mobs	Which mob can teleport randomly?	Enderman	Slime	Witch	Spider	1	20	400
Mobs	Which mob drops a Totem of Undying?	Vindicator	Evoker	Wraith	Pillager	2	25	500
Mobs	Which rare mob spawns only in the End?	Shulker	Enderman	Phantom	Blaze	1	30	600
Blocks	Which block is needed for a Beacon?	Diamond Block	Emerald Block	Nether Star	Obsidian	3	20	100
Blocks	Which block can be used to respawn the Ender Dragon?	End Crystal	Obsidian	Bedrock	End Stone	1	25	200
Blocks	Which block makes a Respawn Anchor work?	Glowstone	Obsidian	Iron Block	Redstone Block	1	20	300
Blocks	Which block cannot burn in the Nether?	Netherrack	Magma Block	Soul Soil	Stone	3	20	400
Blocks	Which rare block drops Netherite scrap?	Ancient Debris	Gold Ore	Diamond Ore	Nether Brick	1	25	500
Blocks	Which block emits a redstone signal when lit by soul fire?	Redstone Lamp	Observer	Daylight Sensor	Redstone Block	1	25	600
Tools	Which tool is required to mine Obsidian?	Diamond Pickaxe	Stone Pickaxe	Iron Pickaxe	Wooden Pickaxe	1	20	100
Tools	Which tool increases wood chopping speed?	Stone Axe	Iron Axe	Diamond Axe	Wooden Axe	2	20	200
Tools	Which tool is needed for stone harvesting?	Wooden Pickaxe	Stone Pickaxe	Iron Pickaxe	Diamond Pickaxe	4	15	300
Tools	Which tool is needed to mine Ancient Debris?	Diamond Pickaxe	Iron Pickaxe	Netherite Pickaxe	Gold Pickaxe	3	20	400
Tools	Which tool can be enchanted with Mending?	Sword	Pickaxe	Armor	All of the above	4	25	500
Tools	Which tool has the highest Efficiency cap?	Diamond Pickaxe	Netherite Pickaxe	Iron Pickaxe	Gold Pickaxe	2	30	600
Enchantments	Which enchantment prevents item loss on death?	Unbreaking	Mending	Silk Touch	Infinity	2	15	100
Enchantments	Which enchantment increases mining speed?	Fortune	Sharpness	Efficiency	Power	3	15	200
Enchantments	Which enchantment increases loot drops?	Looting	Fortune	Sharpness	Efficiency	2	20	300
Enchantments	Which enchantment allows blocks to drop themselves?	Silk Touch	Mending	Infinity	Unbreaking	1	25	400
Enchantments	Which enchantment protects from fire?	Fire Protection	Blast Protection	Feather Falling	Protection	1	25	500
Enchantments	Which enchantment can stack with Sharpness?	Smite	Looting	Unbreaking	Sweeping Edge	4	30	600
Biomes	In which biome do pandas spawn?	Jungle	Bamboo Forest	Taiga	Savanna	2	20	100
Biomes	Which biome has ice spikes?	Snowy Tundra	Ice Spikes	Frozen River	Mountains	2	20	200
Biomes	Which biome contains mushroom islands?	Swamp	Mushroom Fields	Plains	Desert	2	25	300
Biomes	Which biome has Nether-like Basalt Deltas?	Basalt Deltas	Crimson Forest	Warped Forest	Soul Sand Valley	1	25	400
Biomes	Which biome spawns foxes and berries?	Taiga	Snowy Tundra	Plains	Jungle	1	25	500
Biomes	Which rare biome generates only in the End?	End Highlands	End Midlands	End Barrens	End Islands	4	30	600
