subtype	question	option1	option2	option3	option4	correct	time	square_text
中国法律基础	中华人民共和国的最高法律是？	刑法	民法典	宪法	行政法	3	20	100
中国法律基础	依法治国的原则是谁提出的？	邓小平	胡锦涛	习近平	江泽民	3	20	200
中国法律基础	中国的民法典于哪一年正式实施？	2017	2019	2021	2023	3	25	300
中国法律基础	下列哪项属于刑事责任？	拖欠工资	交通违法	故意伤害	商业合同违约	3	25	400
中国法律基础	全国人大是中国的什么机构？	立法机关	行政机关	司法机关	军事机关	1	25	500
中国法律基础	“一国两制”最早适用于哪个地区？	台湾	香港	澳门	西藏	2	30	600
美国法律基础	美国宪法最初有多少条修正案？	10	12	15	13	1	20	100
美国法律基础	美国最高法院位于哪里？	纽约	华盛顿特区	洛杉矶	芝加哥	2	20	200
美国法律基础	“权利法案”主要保障什么？	税收	商业	公民权利	军事	3	25	300
美国法律基础	美国总统任期是几年？	2	4	6	5	2	25	400
美国法律基础	下列哪项属于联邦法律？	道路交通法	税收法	教育法	地方法规	2	25	500
美国法律基础	美国三权分立包括哪些？	立法、行政、司法	立法、军事、教育	行政、司法、商业	司法、教育、立法	1	30	600
政策与政府	中国的五年规划是属于哪种政策？	外交政策	经济社会政策	教育政策	公安政策	2	20	100
政策与政府	美国的“新政”是哪个总统提出的？	罗斯福	肯尼迪	特朗普	林肯	1	20	200
政策与政府	中国的环保法主要管理什么？	金融	环境保护	教育	医疗	2	25	300
政策与政府	美国“奥巴马医改”主要涉及哪方面？	教育	医疗	军事	税收	2	25	400
政策与政府	中国的土地使用政策主要由谁管理？	国务院	地方政府	农业部	司法部	2	25	500
政策与政府	美国的联邦预算是由谁制定的？	国会	总统	最高法院	州长	2	30	600
权利与宪法	中国宪法保障公民的哪项权利？	言论自由	拥枪权	投票权	所有权	1	20	100
权利与宪法	美国宪法第一修正案保障哪项权利？	言论、宗教、集会	财产权	投票权	教育权	1	20	200
权利与宪法	中国公民的婚姻自由由哪部法律保障？	民法典	刑法	行政法	劳动法	1	25	300
权利与宪法	美国“平等保护条款”出自哪条修正案？	第13条	第14条	第15条	第16条	2	25	400
权利与宪法	中国宪法规定公民有受教育的权利吗？	有	没有	有限	只对成年人	1	25	500
权利与宪法	美国宪法规定总统连任最多多少次？	一次	两次	三次	没有限制	2	30	600
国际比较	中国法律体系属于哪种法律体系？	普通法	大陆法	伊斯兰法	英美法	2	20	100
国际比较	美国法律体系属于哪种法律体系？	普通法	大陆法	伊斯兰法	社会法	1	20	200
国际比较	中国的最高人民法院是司法机关吗？	是	否	仅部分	不确定	1	25	300
国际比较	美国联邦最高法院的法官任期多久？	4年	终身	10年	6年	2	25	400
国际比较	中国的全国人大常委会有权制定什么？	刑法	行政法规	地方法规	国际条约	2	25	500
国际比较	美国国会可通过什么来限制总统权力？	宪法	预算法案	弹劾程序	命令	3	30	600
