subtype	question	option1	option2	option3	option4	correct	time	square_text
History	Flushing was originally settled by which group?	Dutch	English	Spanish	French	1	20	100
History	Flushing became part of New York City in which year?	1664	1898	1820	1901	2	20	200
History	Which treaty in 1657 allowed religious freedom in Flushing?	Flushing Remonstrance	Treaty of Flushing	Liberty Accord	Queens Charter	1	25	300
History	Flushing was named after which Dutch city?	Haarlem	Amsterdam	Vlissingen	Rotterdam	3	25	400
History	What type of farming was common in early Flushing?	Wheat	Corn	Dairy	Orchards	4	25	500
History	Which colonial figure is associated with Flushing’s early settlement?	Peter Stuyvesant	John Winthrop	Henry Hudson	William Penn	1	30	600
Landmarks	Which stadium in Flushing hosts the US Open Tennis?	Yankee Stadium	Citi Field	Arthur Ashe Stadium	MetLife Stadium	3	20	100
Landmarks	What famous park is located in Flushing?	Central Park	Flushing Meadows-Corona Park	Prospect Park	Astoria Park	2	20	200
Landmarks	Which historic house is a landmark in Flushing?	Bowne House	Wyck House	Morris-Jumel House	Bartow-Pell Mansion	1	25	300
Landmarks	Which science museum is located in Flushing Meadows?	NY Hall of Science	Museum of Science	Queens Science Center	Intrepid Museum	1	25	400
Landmarks	Which tower is located in Flushing Meadows?	Unisphere	Chrysler Building	Empire State	Freedom Tower	1	25	500
Landmarks	Which stadium is home to the New York Mets?	Yankee Stadium	Citi Field	Arthur Ashe Stadium	MetLife Stadium	2	30	600
Parks & Recreation	Which park hosts the annual U.S. Open Tennis?	Central Park	Flushing Meadows-Corona Park	Prospect Park	Bryant Park	2	20	100
Parks & Recreation	What large playground is located in Flushing Meadows?	Adventure Playground	Willow Playground	Queens Play Area	Elm Park	1	20	200
Parks & Recreation	Which park features the Unisphere?	Flushing Meadows-Corona Park	Central Park	Astoria Park	Prospect Park	1	25	300
Parks & Recreation	Which sports complex is in Flushing Meadows?	Citi Field	Madison Square Garden	Barclays Center	Yankee Stadium	1	25	400
Parks & Recreation	What event celebrates flowers annually in Flushing?	Cherry Blossom Festival	Tulip Festival	Rose Parade	Garden Week	1	25	500
Parks & Recreation	Which park area includes a science playground?	NY Hall of Science Park	Playground Central	Adventure Island	Science Fun Park	1	30	600
Transport	Which subway line stops in Flushing?	7 Train	F Train	N Train	Q Train	1	15	100
Transport	Which major avenue runs through downtown Flushing?	Main Street	Roosevelt Avenue	Queens Boulevard	Northern Blvd	1	15	200
Transport	What creek runs along Flushing?	Flushing Creek	Bronx River	Gowanus Creek	East River	1	20	300
Transport	Is there a LIRR station in Flushing?	Yes	No	Only weekends	Only holidays	1	20	400
Transport	Which airport is closest to Flushing?	JFK	LaGuardia	Newark	Teterboro	2	25	500
Transport	Which highway runs near Flushing Meadows?	I-78	I-495	I-278	I-95	2	30	600
Fun Facts	Which famous market is in downtown Flushing?	Chinatown Market	Flushing Main Street Market	Queens Night Market	Union Square Market	2	15	100
Fun Facts	Which annual parade occurs in Flushing?	Lunar New Year Parade	Cherry Blossom Festival	Columbus Day Parade	Halloween Parade	1	15	200
Fun Facts	Which movie filmed scenes in Flushing?	Spider-Man	The Blacklist	Men in Black	Home Alone	2	20	300
Fun Facts	What is the zip code of Flushing?	11354	10044	11375	10036	1	20	400
Fun Facts	Flushing is known for which type of cuisine?	Italian	Chinese	Mexican	Indian	2	25	500
Fun Facts	Which Queens borough library is in Flushing?	Queens Library Main	New York Public Library	Brooklyn Library	Bronx Library	1	30	600
